保存日期:2026.7.13,标定数据版本号,D4AYA-SFB8-300-E0-170719
Time,ESPD_Value(rpm),Cy_judge_OK(),APP_Value(%),APP_Trq_Pct(%),Trq_Tgt_Pct(%),TPS_Tgt(%),TPS_Value(%),TIP_Tgt(kPa),TIP_Value(kPa),MAP_Value(kPa),WGV_PWM_DuCy(%),Air_Flow(kg/h),Fuel_Flow(kg/h),Fuel_In(mg/Inj),Lam_Tgt(),Lam_Value(),LamCL_Mult(%),LamAL_Mult(%),Inj_PW(ms),Spk_Adv(CAD),NGP_Value(kPa)
保存时间,发动机转速(rpm),判缸成功标志(),油门开度(%),油门扭矩百分比(%),最终扭矩百分比(%),节气门开度目标(%),节气门开度(%),增压压力目标(kPa),增压压力(kPa),进气歧管压力(kPa),废气旁通控制阀占空比(%),空气质量流量(kg/h),燃气质量流量(kg/h),一组喷嘴一次喷射质量(mg/Inj),过量空气系数目标(),过量空气系数(),空燃比闭环喷射量补偿(%),空燃比自适应喷射量补偿(%),燃气喷射脉宽(ms),点火提前角(CAD),喷嘴前燃气压力(kPa)
6.262s,764,1,99.7,100.00,100.00,67.08,66.77,123.26,105.38,106.14,100.0,102.564,4.968,54.83,1.121,1.160,0.0,0.1,11.146,13.50,580.6
6.316s,764,1,99.7,100.00,100.00,67.08,66.77,124.53,106.26,106.14,100.0,102.564,4.968,54.83,1.121,1.160,0.0,0.1,11.146,13.50,580.6
6.370s,764,1,99.7,100.00,100.00,67.08,66.77,124.53,106.26,106.81,100.0,104.616,4.968,54.83,1.121,1.160,0.0,0.1,11.146,13.50,580.6
6.424s,764,1,99.7,100.00,100.00,67.08,66.77,124.53,106.26,106.81,100.0,104.616,5.148,54.81,1.125,1.153,0.0,0.1,11.146,13.50,580.6
6.478s,764,1,99.7,100.00,100.00,67.08,66.77,124.53,106.26,106.81,100.0,104.616,5.148,54.81,1.125,1.153,0.0,1.6,11.502,13.50,580.6
6.532s,789,1,99.7,100.00,100.00,67.08,66.77,124.53,106.26,106.81,100.0,104.616,5.148,54.81,1.125,1.153,0.0,1.6,11.502,13.92,576.3
6.586s,789,1,99.7,100.00,100.00,67.08,66.77,124.53,106.26,106.81,100.0,104.616,5.148,54.81,1.125,1.153,0.0,1.6,11.502,13.92,576.3
6.640s,789,1,99.7,100.00,100.00,67.18,67.30,126.02,106.26,106.81,100.0,104.616,5.148,54.81,1.125,1.153,0.0,1.6,11.502,13.92,576.3
6.694s,789,1,99.7,100.00,100.00,67.18,67.30,126.02,107.57,107.83,100.0,104.760,5.148,54.81,1.125,1.153,0.0,1.6,11.502,13.92,576.3
6.748s,789,1,99.7,100.00,100.00,67.18,67.30,126.02,107.57,107.83,100.0,104.760,5.580,57.21,1.129,1.153,0.0,1.6,11.502,13.92,576.3
6.802s,789,1,99.7,100.00,100.00,67.18,67.30,126.02,107.57,107.83,100.0,104.760,5.580,57.21,1.129,1.162,0.0,3.4,11.502,13.92,576.3
6.856s,810,1,99.7,100.00,100.00,67.18,67.30,126.02,107.57,107.83,100.0,104.760,5.580,57.21,1.129,1.162,0.0,3.4,11.936,14.38,571.0
6.910s,810,1,99.7,100.00,100.00,67.18,67.30,126.02,107.57,107.83,100.0,104.760,5.580,57.21,1.129,1.162,0.0,3.4,11.936,14.38,571.0
6.964s,810,1,99.7,100.00,100.00,67.24,67.17,127.18,107.57,107.83,100.0,104.760,5.580,57.21,1.129,1.162,0.0,3.4,11.936,14.38,571.0
7.018s,810,1,99.7,100.00,100.00,67.24,67.17,127.18,108.45,109.01,100.0,104.760,5.580,57.21,1.129,1.162,0.0,3.4,11.936,14.38,571.0
7.072s,810,1,99.7,100.00,100.00,67.24,67.17,127.18,108.45,109.01,100.0,113.868,5.724,60.51,1.129,1.162,0.0,3.4,11.936,14.38,571.0
7.126s,810,1,99.7,100.00,100.00,67.24,67.17,127.18,108.45,109.01,100.0,113.868,5.724,60.51,1.128,1.120,0.1,5.0,11.936,14.38,571.0
7.180s,810,1,99.7,100.00,100.00,67.24,67.17,127.18,108.45,109.01,100.0,113.868,5.724,60.51,1.128,1.120,0.1,5.0,12.148,14.88,564.9
7.233s,837,1,99.7,100.00,100.00,67.24,67.17,127.18,108.45,109.01,100.0,113.868,5.724,60.51,1.128,1.120,0.1,5.0,12.148,14.88,564.9
7.287s,837,1,99.7,100.00,100.00,66.86,66.77,127.18,108.45,109.01,100.0,113.868,5.724,60.51,1.128,1.120,0.1,5.0,12.148,14.88,564.9
7.341s,837,1,99.7,100.00,100.00,66.86,66.77,128.10,109.67,109.83,100.0,113.868,5.724,60.51,1.128,1.120,0.1,5.0,12.148,14.88,564.9
7.395s,837,1,99.7,100.00,100.00,66.86,66.77,128.10,109.67,109.83,100.0,113.040,6.120,60.51,1.128,1.120,0.1,5.0,12.148,14.88,564.9
